PLZ;Sprache
3616;DE
3617;DE
3618;DE
3619;DE
3622;DE
3623;DE
3624;DE
3625;DE
3626;DE
3627;DE
3628;DE
3629;DE
3631;DE
3632;DE
3633;DE
3634;DE
3635;DE
3636;DE
3638;DE
3645;DE
3646;DE
3647;DE
3652;DE
3653;DE
3654;DE
3655;DE
3656;DE
3657;DE
3658;DE
3661;DE
3662;DE
3663;DE
3664;DE
3665;DE
3671;DE
3672;DE
3673;DE
3674;DE
3700;DE
3702;DE
3703;DE
3704;DE
3705;DE
3706;DE
3707;DE
3711;DE
3713;DE
3714;DE
3715;DE
3716;DE
3717;DE
3718;DE
3722;DE
3723;DE
3724;DE
3725;DE
3752;DE
3753;DE
3754;DE
3755;DE
3756;DE
3757;DE
3758;DE
3762;DE
3763;DE
3764;DE
3765;DE
3766;DE
3770;DE
3771;DE
3772;DE
3773;DE
3775;DE
3776;DE
3777;DE
3778;DE
3780;DE
3781;DE
3782;DE
3783;DE
3784;DE
3785;DE
3792;DE
3800;DE
3801;DE
3803;DE
3804;DE
3805;DE
3806;DE
3807;DE
3812;DE
3813;DE
3814;DE
3815;DE
3816;DE
3818;DE
3822;DE
3823;DE
3824;DE
3825;DE
3826;DE
3852;DE
3853;DE
3854;DE
3855;DE
3856;DE
3857;DE
3858;DE
3860;DE
3862;DE
3863;DE
3864;DE
3900;DE
3901;DE
3902;DE
3903;DE
3904;DE
3905;DE
3906;DE
3907;DE
3908;DE
3910;DE
3911;DE
3912;DE
3913;DE
3914;DE
3916;DE
3917;DE
3918;DE
3919;DE
3920;DE
3922;DE
3923;DE
3924;DE
3925;DE
3926;DE
3927;DE
3928;DE
3929;DE
3930;DE
3931;DE
3932;DE
3933;DE
3934;DE
3935;DE
3937;DE
3938;DE
3939;DE
3940;DE
3942;DE
3943;DE
3944;DE
3945;DE
3946;DE
3947;DE
3948;DE
3949;DE
3951;DE
3952;DE
3953;DE
3954;DE
3955;DE
3956;DE
3957;DE
3960;DE
3961;DE
3963;DE
3965;DE
3966;DE
3967;DE
3968;DE
3970;DE
3971;DE
3972;DE
3973;DE
3974;DE
3975;DE
3976;DE
3977;DE
3978;DE
3979;DE
3982;DE
3983;DE
3984;DE
3985;DE
3986;DE
3987;DE
3988;DE
3989;DE
3991;DE
3992;DE
3993;DE
3994;DE
3995;DE
3996;DE
3997;DE
3998;DE
3999;DE
4000;DE
4001;DE
4002;DE
4005;DE
4031;DE
4051;DE
4052;DE
4053;DE
4054;DE
4055;DE
4056;DE
4057;DE
4058;DE
4059;DE
4101;DE
4102;DE
4103;DE
4104;DE
4105;DE
4106;DE
4107;DE
4108;DE
4112;DE
4114;DE
4115;DE
4116;DE
4117;DE
4118;DE
4123;DE
4124;DE
4125;DE
4126;DE
4127;DE
4132;DE
4133;DE
4142;DE
4143;DE
4144;DE
4145;DE
4146;DE
4147;DE
4148;DE
4153;DE
4202;DE
4203;DE
4204;DE
4206;DE
4207;DE
4208;DE
4222;DE
4223;DE
4224;DE
4225;DE
4226;DE
4227;DE
4228;DE
4229;DE
4232;DE
4233;DE
4234;DE
4242;DE
4243;DE
4244;DE
4245;DE
4246;DE
4247;DE
4252;DE
4253;DE
4254;DE
4302;DE
4303;DE
4304;DE
4305;DE
4310;DE
4312;DE
4313;DE
4314;DE
4315;DE
4316;DE
4317;DE
4322;DE
4323;DE
4324;DE
4325;DE
4332;DE
4333;DE
4334;DE
4402;DE
4410;DE
4411;DE
4412;DE
4413;DE
4414;DE
4415;DE
4416;DE
4417;DE
4418;DE
4419;DE
4421;DE
4422;DE
4423;DE
4424;DE
4425;DE
4426;DE
4431;DE
4432;DE
4433;DE
4434;DE
4435;DE
4436;DE
4437;DE
4438;DE
4441;DE
4442;DE
4443;DE
4444;DE
4445;DE
4446;DE
4447;DE
4448;DE
4450;DE
4451;DE
4452;DE
4453;DE
4455;DE
4456;DE
4457;DE
4458;DE
4460;DE
4461;DE
4462;DE
4463;DE
4464;DE
4465;DE
4466;DE
4467;DE
4468;DE
4469;DE
4492;DE
4493;DE
4494;DE
4495;DE
4496;DE
4497;DE
4500;DE
4512;DE
4513;DE
4514;DE
4515;DE
4522;DE
4523;DE
4524;DE
4525;DE
4528;DE
4532;DE
4533;DE
4534;DE
4535;DE
4536;DE
4537;DE
4538;DE
4539;DE
4542;DE
4543;DE
4552;DE
4553;DE
4554;DE
4556;DE
4557;DE
4558;DE
4562;DE
4563;DE
4564;DE
4565;DE
4566;DE
4571;DE
4573;DE
4574;DE
4576;DE
4577;DE
4578;DE
4579;DE
4581;DE
4582;DE
4583;DE
4584;DE
4585;DE
4586;DE
4587;DE
4588;DE
4600;DE
4612;DE
4613;DE
4614;DE
4615;DE
4616;DE
4617;DE
4618;DE
4622;DE
4623;DE
4624;DE
4625;DE
4626;DE
4628;DE
4629;DE
4632;DE
4633;DE
4634;DE
4652;DE
4653;DE
4654;DE
4655;DE
4656;DE
4657;DE
4658;DE
4663;DE
4665;DE
4702;DE
4703;DE
4704;DE
4710;DE
4712;DE
4713;DE
4714;DE
4715;DE
4716;DE
4717;DE
4718;DE
4719;DE
4800;DE
4802;DE
4803;DE
4805;DE
4806;DE
4812;DE
4813;DE
4814;DE
4852;DE
4853;DE
4856;DE
4900;DE
4911;DE
4912;DE
4913;DE
4914;DE
4915;DE
4916;DE
4917;DE
4919;DE
4922;DE
4923;DE
4924;DE
4932;DE
4933;DE
4934;DE
4935;DE
4936;DE
4937;DE
4938;DE
4942;DE
4943;DE
4944;DE
4950;DE
4952;DE
4953;DE
4954;DE
4955;DE
5000;DE
5004;DE
5012;DE
5013;DE
5014;DE
5015;DE
5017;DE
5018;DE
5022;DE
5023;DE
5024;DE
5025;DE
5026;DE
5027;DE
5028;DE
5032;DE
5033;DE
5034;DE
5035;DE
5036;DE
5037;DE
5040;DE
5042;DE
5043;DE
5044;DE
5046;DE
5053;DE
5054;DE
5056;DE
5057;DE
5058;DE
5062;DE
5063;DE
5064;DE
5070;DE
5072;DE
5073;DE
5074;DE
5075;DE
5076;DE
5077;DE
5078;DE
5079;DE
5080;DE
5082;DE
5083;DE
5084;DE
5085;DE
5102;DE
5103;DE
5105;DE
5106;DE
5107;DE
5108;DE
5112;DE
5113;DE
5116;DE
5200;DE
5210;DE
5212;DE
5213;DE
5222;DE
5223;DE
5224;DE
5225;DE
5233;DE
5234;DE
5235;DE
5236;DE
5237;DE
5242;DE
5243;DE
5244;DE
5245;DE
5246;DE
5272;DE
5273;DE
5274;DE
5275;DE
5276;DE
5277;DE
5300;DE
5301;DE
5303;DE
5304;DE
5305;DE
5306;DE
5312;DE
5313;DE
5314;DE
5315;DE
5316;DE
5317;DE
5318;DE
5322;DE
5323;DE
5324;DE
5325;DE
5326;DE
5330;DE
5332;DE
5333;DE
5334;DE
5400;DE
5404;DE
5405;DE
5406;DE
5408;DE
5412;DE
5413;DE
5415;DE
5416;DE
5417;DE
5420;DE
5423;DE
5425;DE
5426;DE
5430;DE
5432;DE
5436;DE
5442;DE
5443;DE
5444;DE
5445;DE
5452;DE
5453;DE
5454;DE
5462;DE
5463;DE
5464;DE
5465;DE
5466;DE
5467;DE
5502;DE
5503;DE
5504;DE
5505;DE
5506;DE
5507;DE
5512;DE
5522;DE
5524;DE
5525;DE
5600;DE
5603;DE
5604;DE
5605;DE
5606;DE
5607;DE
5608;DE
5610;DE
5611;DE
5612;DE
5613;DE
5614;DE
5615;DE
5616;DE
5617;DE
5618;DE
5619;DE
5620;DE
5621;DE
5622;DE
5623;DE
5624;DE
5625;DE
5626;DE
5627;DE
5628;DE
5630;DE
5632;DE
5634;DE
5636;DE
5637;DE
5642;DE
5643;DE
5644;DE
5645;DE
5646;DE
5647;DE
5702;DE
5703;DE
5704;DE
5705;DE
5706;DE
5707;DE
5708;DE
5712;DE
5722;DE
5723;DE
5724;DE
5725;DE
5726;DE
5727;DE
5728;DE
5732;DE
5733;DE
5734;DE
5735;DE
5736;DE
5737;DE
5742;DE
5745;DE
5746;DE
6000;DE
6002;DE
6003;DE
6004;DE
6005;DE
6006;DE
6010;DE
6012;DE
6013;DE
6014;DE
6015;DE
6016;DE
6017;DE
6018;DE
6019;DE
6020;DE
6022;DE
6023;DE
6024;DE
6025;DE
6026;DE
6027;DE
6028;DE
6030;DE
6032;DE
6033;DE
6034;DE
6035;DE
6036;DE
6037;DE
6038;DE
6039;DE
6042;DE
6043;DE
6044;DE
6045;DE
6047;DE
6048;DE
6052;DE
6053;DE
6055;DE
6056;DE
6060;DE
6062;DE
6063;DE
6064;DE
6066;DE
6067;DE
6068;DE
6072;DE
6073;DE
6074;DE
6078;DE
6083;DE
6084;DE
6085;DE
6086;DE
6102;DE
6103;DE
6105;DE
6106;DE
6110;DE
6112;DE
6113;DE
6114;DE
6122;DE
6123;DE
6125;DE
6126;DE
6130;DE
6132;DE
6133;DE
6142;DE
6143;DE
6144;DE
6145;DE
6146;DE
6147;DE
6152;DE
6153;DE
6154;DE
6156;DE
6160;DE
6162;DE
6163;DE
6166;DE
6167;DE
6170;DE
6173;DE
6174;DE
6182;DE
6192;DE
6196;DE
6197;DE
6203;DE
6204;DE
6205;DE
6206;DE
6207;DE
6208;DE
6210;DE
6211;DE
6212;DE
6213;DE
6214;DE
6215;DE
6216;DE
6217;DE
6218;DE
6221;DE
6222;DE
6231;DE
6232;DE
6233;DE
6234;DE
6235;DE
6236;DE
6242;DE
6243;DE
6244;DE
6245;DE
6246;DE
6247;DE
6248;DE
6252;DE
6253;DE
6260;DE
6262;DE
6263;DE
6264;DE
6265;DE
6274;DE
6275;DE
6276;DE
6277;DE
6280;DE
6283;DE
6284;DE
6285;DE
6286;DE
6287;DE
6288;DE
6289;DE
6294;DE
6295;DE
6300;DE
6304;DE
6312;DE
6313;DE
6314;DE
6315;DE
6317;DE
6318;DE
6319;DE
6330;DE
6331;DE
6332;DE
6333;DE
6340;DE
6343;DE
6344;DE
6345;DE
6353;DE
6354;DE
6356;DE
6362;DE
6363;DE
6365;DE
6370;DE
6372;DE
6373;DE
6374;DE
6375;DE
6376;DE
6377;DE
6382;DE
6383;DE
6386;DE
6387;DE
6388;DE
6390;DE
6402;DE
6403;DE
6404;DE
6405;DE
6410;DE
6414;DE
6415;DE
6416;DE
6417;DE
6418;DE
6422;DE
6423;DE
6424;DE
6430;DE
6432;DE
6433;DE
6434;DE
6436;DE
6438;DE
6440;DE
6441;DE
6442;DE
6443;DE
6452;DE
6454;DE
6460;DE
6461;DE
6462;DE
6463;DE
6464;DE
6465;DE
6466;DE
6467;DE
6468;DE
6469;DE
6472;DE
6473;DE
6474;DE
6475;DE
6476;DE
6482;DE
6484;DE
6485;DE
6487;DE
6490;DE
6491;DE
6493;DE
6500;IT
6503;IT
6505;IT
6512;IT
6513;IT
6514;IT
6515;IT
6516;IT
6517;IT
6518;IT
6523;IT
6524;IT
6525;IT
6526;IT
6527;IT
6528;IT
6532;IT
6533;IT
6534;DE
6535;DE
6537;DE
6538;DE
6540;DE
6541;DE
6542;DE
6543;DE
6544;DE
6545;DE
6546;DE
6547;DE
6548;DE
6549;DE
6556;DE
6557;DE
6558;DE
6562;DE
6563;DE
6565;DE
6571;IT
6572;IT
6573;IT
6574;IT
6575;IT
6576;IT
6577;IT
6578;IT
6579;IT
6582;IT
6583;IT
6584;IT
6592;IT
6593;IT
6594;IT
6595;IT
6596;IT
6597;IT
6598;IT
6599;IT
6600;IT
6605;IT
6611;IT
6612;IT
6613;IT
6614;IT
6616;IT
6618;IT
6622;IT
6631;IT
6632;IT
6633;IT
6634;IT
6635;IT
6636;IT
6637;IT
6644;IT
6645;IT
6646;IT
6647;IT
6648;IT
6652;IT
6653;IT
6654;IT
6655;IT
6656;IT
6657;IT
6658;IT
6659;IT
6661;IT
6662;IT
6663;IT
6664;IT
6670;IT
6672;IT
6673;IT
6674;IT
6675;IT
6676;IT
6677;IT
6678;IT
6682;IT
6683;IT
6684;IT
6685;IT
6690;IT
6692;IT
6693;IT
6694;IT
6695;IT
6696;IT
6702;IT
6703;IT
6705;IT
6707;IT
6710;IT
6713;IT
6714;IT
6715;IT
6716;IT
6717;IT
6718;IT
6719;IT
6720;IT
6721;IT
6722;IT
6723;IT
6724;IT
6742;IT
6743;IT
6744;IT
6745;IT
6746;IT
6747;IT
6748;IT
6749;IT
6760;IT
6763;IT
6764;IT
6772;IT
6773;IT
6774;IT
6775;IT
6776;IT
6777;IT
6780;IT
6781;IT
6802;IT
6803;IT
6804;IT
6805;IT
6806;IT
6807;IT
6808;IT
6809;IT
6810;IT
6814;IT
6815;IT
6816;IT
6817;IT
6818;IT
6821;IT
6822;IT
6823;IT
6825;IT
6826;IT
6827;IT
6828;IT
6830;IT
6832;IT
6833;IT
6834;IT
6835;IT
6837;IT
6838;IT
6839;IT
6850;IT
6852;IT
6853;IT
6854;IT
6855;IT
6862;IT
6863;IT
6864;IT
6865;IT
6866;IT
6867;IT
6872;IT
6873;IT
6874;IT
6875;IT
6877;IT
6883;IT
6900;IT
6911;IT
6912;IT
6913;IT
6914;IT
6915;IT
6916;IT
6917;IT
6918;IT
6919;IT
6921;IT
6922;IT
6924;IT
6925;IT
6926;IT
6927;IT
6928;IT
6929;IT
6930;IT
6932;IT
6933;IT
6934;IT
6935;IT
6936;IT
6937;IT
6938;IT
6939;IT
6942;IT
6943;IT
6944;IT
6945;IT
6946;IT
6947;IT
6948;IT
6949;IT
6950;IT
6951;IT
6952;IT
6953;IT
6954;IT
6955;IT
6956;IT
6957;IT
6958;IT
6959;IT
6962;IT
6963;IT
6964;IT
6965;IT
6966;IT
6967;IT
6968;IT
6974;IT
6976;IT
6977;IT
6978;IT
6979;IT
6980;IT
6981;IT
6982;IT
6983;IT
6984;IT
6986;IT
6987;IT
6988;IT
6989;IT
6990;IT
6991;IT
6992;IT
6993;IT
6994;IT
6995;IT
6996;IT
6997;IT
6998;IT
6999;IT
7000;DE
7002;DE
7012;DE
7013;DE
7014;DE
7015;DE
7016;DE
7017;DE
7018;DE
7019;DE
7023;DE
7026;DE
7027;DE
7028;DE
7029;DE
7031;DE
7032;DE
7050;DE
7056;DE
